"","ensembl.id","symbol","biotype","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C12orf5","ENSG00000078237","C12orf5","protein_coding",141.5158007,-0.431512355,0.16141297,-2.673343761,0.007509925,0.023133574
"C15orf56","ENSG00000176753","C15orf56","protein_coding",9.543823463,-0.782872695,0.353317751,-2.215775156,0.026706905,0.067448726
"C16orf52","ENSG00000185716","C16orf52","protein_coding",576.1383588,0.464592416,0.091109582,5.099270619,3.41e-07,3.11e-06
"C1orf106","ENSG00000163362","C1orf106","protein_coding",451.5140524,-1.158523889,0.121127039,-9.564535673,1.13e-21,6.55e-20
"C1orf21","ENSG00000116667","C1orf21","protein_coding",68.14785421,0.932465943,0.216146896,4.3140381,1.6e-05,0.000102282
"C1orf95","ENSG00000203685","C1orf95","protein_coding",8.048268709,1.003907753,0.364486993,2.75430337,0.005881722,0.018696478
"C2orf68","ENSG00000168887","C2orf68","protein_coding",417.1239926,-0.243140676,0.10124922,-2.401407884,0.01633212,0.044585536
"C3orf17","ENSG00000163608","C3orf17","protein_coding",952.3935236,-0.222397967,0.088889654,-2.501955597,0.012350941,0.035335763
"C5orf45","ENSG00000161010","C5orf45","protein_coding",322.5615636,0.772511074,0.233973711,3.301700302,0.000961007,0.003889393
"C7orf60","ENSG00000164603","C7orf60","protein_coding",99.06579383,0.440933877,0.182194667,2.420125045,0.015515171,0.042805087
"C9orf3","ENSG00000148120","C9orf3","protein_coding",265.5316425,-0.538660072,0.112009626,-4.809051593,1.52e-06,1.21e-05
"CA12","ENSG00000074410","CA12","protein_coding",571.291937,1.632167845,0.128075348,12.74380959,3.38e-37,5.5e-35
"CACNA1I","ENSG00000100346","CACNA1I","protein_coding",8.297275852,-0.952265683,0.356651555,-2.670016908,0.007584743,0.023346742
"CACNG8","ENSG00000142408","CACNG8","protein_coding",87.13834246,-0.588984018,0.181320416,-3.248305013,0.001160947,0.004560415
"CALCOCO1","ENSG00000012822","CALCOCO1","protein_coding",1094.52346,-0.418122845,0.133154051,-3.14014364,0.00168865,0.006354124
"CAMK2G","ENSG00000148660","CAMK2G","protein_coding",2719.939926,0.223326078,0.067789817,3.294389738,0.000986356,0.00397218
"CAMK2N1","ENSG00000162545","CAMK2N1","protein_coding",979.5750583,0.218692655,0.091881099,2.380170211,0.017304643,0.046901646
"CAPN2","ENSG00000162909","CAPN2","protein_coding",7156.386953,0.404225343,0.066931399,6.039397797,1.55e-09,2.09e-08
"CARD8","ENSG00000105483","CARD8","protein_coding",188.5799456,-0.379899928,0.142767822,-2.66096326,0.007791746,0.023904271
"CASP1","ENSG00000137752","CASP1","protein_coding",24.51366082,-1.833472359,0.290059579,-6.321019856,2.6e-10,3.98e-09
"CBLL1","ENSG00000105879","CBLL1","protein_coding",485.5417002,-0.236205074,0.110988244,-2.128199049,0.033320584,0.081049541
"CBX1","ENSG00000108468","CBX1","protein_coding",1431.93031,0.56963249,0.112391458,5.068289892,4.01e-07,3.62e-06
"CC2D1B","ENSG00000154222","CC2D1B","protein_coding",488.6330641,-0.279232039,0.099358322,-2.810353803,0.004948707,0.016118921
"CCDC137","ENSG00000185298","CCDC137","protein_coding",496.8913993,0.252453554,0.113801786,2.218361964,0.026530162,0.06709796
"CCDC149","ENSG00000181982","CCDC149","protein_coding",205.7183227,-0.421948368,0.131295681,-3.213726183,0.001310246,0.005066689
"CCDC40","ENSG00000141519","CCDC40","protein_coding",81.49029106,-0.486213249,0.200994112,-2.419042249,0.015561433,0.042904245
"CCDC68","ENSG00000166510","CCDC68","protein_coding",79.14438969,0.56624691,0.208627528,2.714152413,0.006644559,0.020760189
"CCDC88C","ENSG00000015133","CCDC88C","protein_coding",493.509107,-0.346559254,0.099761917,-3.473863225,0.000513022,0.002249021
"CCDC91","ENSG00000123106","CCDC91","protein_coding",287.9578768,-0.715514762,0.130665694,-5.475919051,4.35e-08,4.64e-07
"CCDC93","ENSG00000125633","CCDC93","protein_coding",640.1132923,0.748208622,0.089780003,8.333800396,7.83e-17,2.9e-15
"CCND1","ENSG00000110092","CCND1","protein_coding",6076.195224,0.427950419,0.090708691,4.717854658,2.38e-06,1.83e-05
"CCNG2","ENSG00000138764","CCNG2","protein_coding",550.4180547,0.496438946,0.109286951,4.542527181,5.56e-06,3.9e-05
"CCNJ","ENSG00000107443","CCNJ","protein_coding",181.8353478,-0.552950761,0.146104916,-3.784614338,0.000153947,0.000769201
"CCR1","ENSG00000163823","CCR1","protein_coding",30.24192207,-0.615104544,0.265920927,-2.313110705,0.020716553,0.054557309
"CD151","ENSG00000177697","CD151","protein_coding",4493.58179,0.445263792,0.08566229,5.19789736,2.02e-07,1.92e-06
"CD164","ENSG00000135535","CD164","protein_coding",6328.531364,0.634376861,0.085377852,7.430227451,1.08e-13,2.73e-12
"CD177","ENSG00000204936","CD177","protein_coding",5.987273,-0.837120739,0.367109788,-2.280300787,0.022589855,0.058682098
"CD302","ENSG00000241399","CD302","protein_coding",267.4357115,0.867338611,0.135467944,6.402537628,1.53e-10,2.43e-09
"CDC42BPA","ENSG00000143776","CDC42BPA","protein_coding",1504.886937,-0.284799211,0.091448898,-3.114298993,0.001843825,0.006838976
"CDC73","ENSG00000134371","CDC73","protein_coding",407.7028381,-0.331645949,0.118717677,-2.79356838,0.005213001,0.016854321
"CDCA3","ENSG00000111665","CDCA3","protein_coding",578.6156779,0.608314583,0.141217547,4.307641613,1.65e-05,0.000104962
"CDK13","ENSG00000065883","CDK13","protein_coding",745.0144907,-0.361897905,0.095747466,-3.779712599,0.000157009,0.000782599
"CDKN2B","ENSG00000147883","CDKN2B","protein_coding",826.0518336,-0.501027446,0.206437747,-2.427014695,0.015223639,0.042133601
"CDON","ENSG00000064309","CDON","protein_coding",579.2028338,0.728655867,0.135230287,5.388259398,7.11e-08,7.33e-07
"CDSN","ENSG00000204539","CDSN","protein_coding",32.13349084,0.567214616,0.273197017,2.076210873,0.037874452,0.090277579
"CDT1","ENSG00000167513","CDT1","protein_coding",74.62886707,1.381012774,0.235619134,5.861208075,4.6e-09,5.78e-08
"CDV3","ENSG00000091527","CDV3","protein_coding",1717.687877,-0.542564533,0.105591113,-5.13835413,2.77e-07,2.56e-06
"CEP41","ENSG00000106477","CEP41","protein_coding",411.4270743,0.595031852,0.121310117,4.905047217,9.34e-07,7.78e-06
"CEP57","ENSG00000166037","CEP57","protein_coding",910.4704424,-0.34675662,0.087752833,-3.951514802,7.77e-05,0.000421442
"CERS6","ENSG00000172292","CERS6","protein_coding",1454.083344,0.992318466,0.100306251,9.892887558,4.47e-23,2.85e-21
"CHAF1B","ENSG00000159259","CHAF1B","protein_coding",337.0955888,1.022219839,0.152786972,6.690490861,2.22e-11,4.01e-10
"CHCHD6","ENSG00000159685","CHCHD6","protein_coding",137.6322242,-0.324385566,0.15559343,-2.084828175,0.0370849,0.088675255
"CHD5","ENSG00000116254","CHD5","protein_coding",65.60200488,1.494023816,0.219414043,6.809153136,9.82e-12,1.88e-10
"CHML","ENSG00000203668","CHML","protein_coding",1762.510748,1.111338708,0.096467053,11.52039654,1.04e-30,1.16e-28
"CHMP1B","ENSG00000255112","CHMP1B","protein_coding",1133.176077,-0.251537003,0.087556912,-2.872840046,0.004068,0.013571972
"CHST11","ENSG00000171310","CHST11","protein_coding",1398.661102,-0.423251062,0.09626441,-4.396755349,1.1e-05,7.26e-05
"CHST12","ENSG00000136213","CHST12","protein_coding",130.1341806,0.620564546,0.180888546,3.430645889,0.000602146,0.002593236
"CIRBP","ENSG00000099622","CIRBP","protein_coding",1378.109775,-0.667618031,0.086367918,-7.729930859,1.08e-14,3.05e-13
"CLCN6","ENSG00000011021","CLCN6","protein_coding",351.564648,0.487288371,0.121188611,4.020908953,5.8e-05,0.000326114
"CLDND1","ENSG00000080822","CLDND1","protein_coding",1820.965002,-0.282994073,0.089999651,-3.144390782,0.00166433,0.00627824
"CMTM4","ENSG00000183723","CMTM4","protein_coding",1018.472597,0.29462807,0.098996553,2.976144723,0.002918971,0.010226853
"CNOT7","ENSG00000198791","CNOT7","protein_coding",366.1655396,-0.252626641,0.113671243,-2.222432284,0.026254106,0.066547754
"CNTNAP2","ENSG00000174469","CNTNAP2","protein_coding",217.0107942,0.684683066,0.149565049,4.577827973,4.7e-06,3.36e-05
"COG5","ENSG00000164597","COG5","protein_coding",797.6887033,-0.405512448,0.103795207,-3.906851376,9.35e-05,0.000495484
"COPS2","ENSG00000166200","COPS2","protein_coding",888.4383003,-0.419781146,0.106797975,-3.930609585,8.47e-05,0.000454485
"COTL1","ENSG00000103187","COTL1","protein_coding",4127.378092,0.328346453,0.11030271,2.976775934,0.002912968,0.010212278
"COX19","ENSG00000240230","COX19","protein_coding",293.16953,-0.635383119,0.147876665,-4.296709814,1.73e-05,0.000109601
"CPA4","ENSG00000128510","CPA4","protein_coding",706.813449,-0.627164415,0.143490547,-4.370771646,1.24e-05,8.11e-05
"CPAMD8","ENSG00000160111","CPAMD8","protein_coding",261.6901729,-0.393074635,0.142177492,-2.764675549,0.005697944,0.018199272
"CPNE2","ENSG00000140848","CPNE2","protein_coding",222.2647684,0.429795424,0.142508946,3.015918902,0.002562018,0.009124273
"CPPED1","ENSG00000103381","CPPED1","protein_coding",107.1313492,-0.494702486,0.168962657,-2.927880603,0.003412811,0.011691021
"CREB3L2","ENSG00000182158","CREB3L2","protein_coding",1179.329296,-0.342804253,0.121109908,-2.830521952,0.004647212,0.015244396
"CREBBP","ENSG00000005339","CREBBP","protein_coding",776.4511478,-0.434031374,0.111490499,-3.892989784,9.9e-05,0.000520368
