#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
HNRNPK	SRSF4	1856467	1855988	ENSP00000365439	ENSP00000362900	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.216	0.918
YBX1	HNRNPU	1855704	1846836	ENSP00000361626	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.827	0.900	0.407	0.988
PTBP1	POLR2A	1853438	1849743	ENSP00000349428	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.102	0.900	0.092	0.911
HNRNPK	SRRM1	1856467	1850815	ENSP00000365439	ENSP00000326261	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.284	0.925
SRSF10	SF3A2	1861465	1842843	ENSP00000420195	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.361	0.000	0.267	0.511
PCBP2	HNRNPD	1853847	1849608	ENSP00000352438	ENSP00000313199	0.000	0.000	0.000	0.000	0.000	0.843	0.900	0.574	0.992
HNRNPK	POLR2A	1856467	1849743	ENSP00000365439	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.095	0.905
ALYREF	HNRNPL	1861534	1842831	ENSP00000421592	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.836	0.982
PCBP2	FUS	1853847	1844273	ENSP00000352438	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.303	0.900	0.298	0.946
HNRNPA3	PTBP1	1858016	1853438	ENSP00000376309	ENSP00000349428	0.000	0.000	0.000	0.000	0.000	0.911	0.900	0.432	0.994
SRSF4	SRSF2	1855988	1853940	ENSP00000362900	ENSP00000353089	0.000	0.000	0.000	0.000	0.272	0.724	0.900	0.894	0.997
HNRNPF	HNRNPU	1852109	1846836	ENSP00000338477	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.472	0.944
HNRNPH1	FUS	1853404	1844273	ENSP00000349168	ENSP00000254108	0.000	0.000	0.000	0.000	0.075	0.303	0.900	0.241	0.944
ALYREF	HNRNPF	1861534	1852109	ENSP00000421592	ENSP00000338477	0.000	0.000	0.000	0.000	0.112	0.000	0.900	0.126	0.915
SRSF10	SRSF4	1861465	1855988	ENSP00000420195	ENSP00000362900	0.000	0.000	0.000	0.657	0.076	0.831	0.000	0.530	0.866
SRSF2	PTBP1	1853940	1853438	ENSP00000353089	ENSP00000349428	0.000	0.000	0.000	0.000	0.000	0.102	0.900	0.689	0.969
SRSF10	HNRNPA1	1861465	1852510	ENSP00000420195	ENSP00000341826	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.464	0.463
ALYREF	HNRNPA3	1861534	1858016	ENSP00000421592	ENSP00000376309	0.000	0.000	0.000	0.000	0.000	0.270	0.900	0.252	0.940
HNRNPF	POLR2A	1852109	1849743	ENSP00000338477	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.000	0.955
HNRNPF	SRRM1	1852109	1850815	ENSP00000338477	ENSP00000326261	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.211	0.917
SRSF2	PCBP2	1853940	1853847	ENSP00000353089	ENSP00000352438	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.370	0.934
ALYREF	SRSF2	1861534	1853940	ENSP00000421592	ENSP00000353089	0.000	0.000	0.000	0.000	0.073	0.950	0.900	0.330	0.996
SRRM1	FUS	1850815	1844273	ENSP00000326261	ENSP00000254108	0.000	0.000	0.000	0.000	0.099	0.564	0.900	0.216	0.965
FUS	TARDBP	1844273	1843553	ENSP00000254108	ENSP00000240185	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.882	0.948
YBX1	SF3A2	1855704	1842843	ENSP00000361626	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.895	0.900	0.000	0.989
SRSF4	HNRNPU	1855988	1846836	ENSP00000362900	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.255	0.922
HNRNPD	HNRNPU	1849608	1846836	ENSP00000313199	ENSP00000283179	0.000	0.000	0.000	0.000	0.088	0.703	0.900	0.538	0.985
HNRNPF	FUS	1852109	1844273	ENSP00000338477	ENSP00000254108	0.000	0.000	0.000	0.000	0.075	0.303	0.900	0.143	0.937
PTBP1	HNRNPD	1853438	1849608	ENSP00000349428	ENSP00000313199	0.000	0.000	0.000	0.000	0.000	0.987	0.900	0.566	0.999
HNRNPA2B1	SRRM1	1853084	1850815	ENSP00000346694	ENSP00000326261	0.000	0.000	0.000	0.000	0.111	0.000	0.900	0.232	0.925
PTBP1	FUS	1853438	1844273	ENSP00000349428	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.564	0.900	0.265	0.965
HNRNPH1	HNRNPU	1853404	1846836	ENSP00000349168	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.357	0.900	0.472	0.963
HNRNPA3	SRSF2	1858016	1853940	ENSP00000376309	ENSP00000353089	0.000	0.000	0.000	0.675	0.096	0.149	0.900	0.357	0.925
POLR2A	SF3A2	1849743	1842843	ENSP00000314949	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.226	0.919
PTBP1	HNRNPF	1853438	1852109	ENSP00000349428	ENSP00000338477	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.626	0.961
HNRNPK	HNRNPH1	1856467	1853404	ENSP00000365439	ENSP00000349168	0.000	0.000	0.000	0.000	0.088	0.422	0.900	0.583	0.975
ALYREF	SRRM1	1861534	1850815	ENSP00000421592	ENSP00000326261	0.000	0.000	0.000	0.000	0.000	0.950	0.900	0.472	0.997
HNRNPA1	HNRNPL	1852510	1842831	ENSP00000341826	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.954	0.900	0.672	0.998
HNRNPF	HNRNPL	1852109	1842831	ENSP00000338477	ENSP00000221419	0.000	0.000	0.000	0.000	0.077	0.000	0.900	0.452	0.945
YBX1	POLR2A	1855704	1849743	ENSP00000361626	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.137	0.910
ALYREF	HNRNPA1	1861534	1852510	ENSP00000421592	ENSP00000341826	0.000	0.000	0.000	0.000	0.000	0.466	0.900	0.417	0.966
PCBP2	SF3A2	1853847	1842843	ENSP00000352438	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
ALYREF	HNRNPH1	1861534	1853404	ENSP00000421592	ENSP00000349168	0.000	0.000	0.000	0.000	0.112	0.000	0.900	0.097	0.912
ALYREF	PTBP1	1861534	1853438	ENSP00000421592	ENSP00000349428	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.142	0.910
HNRNPK	HNRNPA2B1	1856467	1853084	ENSP00000365439	ENSP00000346694	0.000	0.000	0.000	0.000	0.076	0.000	0.900	0.922	0.992
HNRNPH1	HNRNPF	1853404	1852109	ENSP00000349168	ENSP00000338477	0.000	0.000	0.000	0.983	0.071	0.931	0.900	0.964	0.993
HNRNPK	HNRNPU	1856467	1846836	ENSP00000365439	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.623	0.900	0.565	0.982
HNRNPA3	POLR2A	1858016	1849743	ENSP00000376309	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.000	0.911
YBX1	FUS	1855704	1844273	ENSP00000361626	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.740	0.900	0.243	0.978
HNRNPK	PTBP1	1856467	1853438	ENSP00000365439	ENSP00000349428	0.000	0.000	0.000	0.000	0.000	0.856	0.900	0.661	0.994
HNRNPA3	HNRNPA2B1	1858016	1853084	ENSP00000376309	ENSP00000346694	0.000	0.000	0.000	0.648	0.000	0.898	0.900	0.700	0.991
HNRNPA3	TARDBP	1858016	1843553	ENSP00000376309	ENSP00000240185	0.000	0.000	0.000	0.668	0.071	0.304	0.000	0.505	0.434
HNRNPA1	FUS	1852510	1844273	ENSP00000341826	ENSP00000254108	0.000	0.000	0.000	0.000	0.077	0.000	0.900	0.459	0.945
YBX1	HNRNPH1	1855704	1853404	ENSP00000361626	ENSP00000349168	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.305	0.927
ALYREF	HNRNPU	1861534	1846836	ENSP00000421592	ENSP00000283179	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.194	0.915
HNRNPD	HNRNPL	1849608	1842831	ENSP00000313199	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.902	0.900	0.503	0.994
SF3A2	HNRNPL	1842843	1842831	ENSP00000221494	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HNRNPH1	HNRNPD	1853404	1849608	ENSP00000349168	ENSP00000313199	0.000	0.000	0.000	0.000	0.076	0.941	0.900	0.518	0.997
HNRNPA2B1	HNRNPL	1853084	1842831	ENSP00000346694	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.979	0.900	0.593	0.999
HNRNPA3	FUS	1858016	1844273	ENSP00000376309	ENSP00000254108	0.000	0.000	0.000	0.000	0.077	0.644	0.900	0.282	0.973
SRSF4	HNRNPA1	1855988	1852510	ENSP00000362900	ENSP00000341826	0.000	0.000	0.000	0.000	0.076	0.488	0.900	0.585	0.977
PCBP2	HNRNPA1	1853847	1852510	ENSP00000352438	ENSP00000341826	0.000	0.000	0.000	0.000	0.000	0.221	0.900	0.630	0.968
SRSF4	PTBP1	1855988	1853438	ENSP00000362900	ENSP00000349428	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.420	0.939
HNRNPA1	SRRM1	1852510	1850815	ENSP00000341826	ENSP00000326261	0.000	0.000	0.000	0.000	0.111	0.000	0.900	0.477	0.949
ALYREF	PCBP2	1861534	1853847	ENSP00000421592	ENSP00000352438	0.000	0.000	0.000	0.000	0.000	0.149	0.900	0.129	0.919
ALYREF	HNRNPD	1861534	1849608	ENSP00000421592	ENSP00000313199	0.000	0.000	0.000	0.000	0.000	0.270	0.900	0.264	0.941
HNRNPD	SF3A2	1849608	1842843	ENSP00000313199	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.361	0.900	0.185	0.943
HNRNPA3	HNRNPH1	1858016	1853404	ENSP00000376309	ENSP00000349168	0.000	0.000	0.000	0.000	0.112	0.740	0.900	0.509	0.987
SRSF4	POLR2A	1855988	1849743	ENSP00000362900	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.633	0.900	0.000	0.961
SRRM1	HNRNPD	1850815	1849608	ENSP00000326261	ENSP00000313199	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.161	0.912
HNRNPF	SF3A2	1852109	1842843	ENSP00000338477	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.061	0.902
PCBP2	HNRNPF	1853847	1852109	ENSP00000352438	ENSP00000338477	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.235	0.920
HNRNPA2B1	FUS	1853084	1844273	ENSP00000346694	ENSP00000254108	0.000	0.000	0.000	0.000	0.077	0.000	0.900	0.396	0.939
SRSF2	POLR2A	1853940	1849743	ENSP00000353089	ENSP00000314949	0.000	0.000	0.000	0.000	0.000	0.301	0.900	0.394	0.953
SRRM1	SF3A2	1850815	1842843	ENSP00000326261	ENSP00000221494	0.000	0.000	0.000	0.000	0.000	0.895	0.900	0.299	0.992
POLR2A	HNRNPL	1849743	1842831	ENSP00000314949	ENSP00000221419	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.052	0.901
HNRNPA2B1	HNRNPF	1853084	1852109	ENSP00000346694	ENSP00000338477	0.000	0.000	0.000	0.000	0.112	0.302	0.900	0.905	0.993
HNRNPH1	HNRNPA1	1853404	1852510	ENSP00000349168	ENSP00000341826	0.000	0.000	0.000	0.000	0.112	0.836	0.900	0.753	0.995
