EXO,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CELL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
hsa-miR-139-5p,18.56522727,-1.081674562,0.550975965,-1.963197361,0.049623246,0.754754498,,31.60921088,-0.74092281,0.383582159,-1.9315883,0.053410341,0.569622051,-0.340751752
hsa-miR-140-3p,76.19974141,0.880747084,0.486955451,1.808681024,0.070500573,0.754754498,,114.0446158,-0.438177175,0.353712718,-1.23879395,0.215421815,0.979104978,1.318924259
hsa-miR-140-5p,5.638819932,-0.16306286,0.538930342,-0.3025676,0.762219409,0.96376268,,14.09428206,0.289025011,0.436232672,0.662547832,0.507620191,0.998389561,-0.452087871
hsa-miR-141-3p,59.17397075,-0.931512738,0.525585465,-1.77233352,0.07633921,0.754754498,,189.4288065,-0.049883931,0.351511057,-0.141912836,0.887148856,0.998389561,-0.881628807
hsa-miR-143-3p,12.23219981,0.219516378,0.550147486,0.399013689,0.689883118,0.96376268,,10.38672096,0.554635685,0.448699777,1.2360953,0.216423142,0.979104978,-0.335119307
hsa-miR-146a-5p,184.7848141,-1.411458682,0.545324205,-2.588292744,0.009645297,0.577110275,,46.6409493,-1.273031696,0.428871372,-2.968329849,0.002994228,0.273971886,-0.138426986
hsa-miR-146b-5p,244.6620258,-0.308568405,0.411572305,-0.749730731,0.453416895,0.96376268,,557.3540371,0.066059132,0.328181257,0.201288558,0.840472949,0.998389561,-0.374627537
hsa-miR-147b-3p,10.56952235,0.013144738,0.473760651,0.027745525,0.977865114,0.991676768,,14.34564669,0.272755118,0.436783683,0.6244627,0.532323759,0.998389561,-0.25961038
hsa-miR-148a-3p,20083.73453,-1.170705579,0.468689817,-2.497825933,0.012495753,0.614020668,,23744.36891,-0.59570436,0.366940088,-1.623437665,0.104495879,0.708249844,-0.575001219
hsa-miR-148a-5p,52.68808163,-0.2504327,0.440035813,-0.569118904,0.56927545,0.96376268,,231.299504,-0.733575228,0.383519799,-1.912744089,0.055780822,0.569622051,0.483142528
hsa-miR-148b-3p,1070.833395,-0.174840481,0.403025587,-0.433819803,0.6644193,0.96376268,,2947.993197,0.075529391,0.369515383,0.20440121,0.838039984,0.998389561,-0.250369872
hsa-miR-148b-5p,29.31299967,0.075530468,0.438846764,0.172111256,0.863350064,0.96376268,,73.4037549,0.179577753,0.355544013,0.505078828,0.613503471,0.998389561,-0.104047285
hsa-miR-149-5p,23.3967518,1.043301852,0.509536307,2.047551544,0.040603961,0.728841107,,69.31158787,0.817061823,0.361124719,2.262547479,0.023663599,0.444154194,0.226240029
hsa-miR-151a-3p,5102.05546,-0.244489033,0.514072826,-0.475592212,0.634364925,0.96376268,,9345.194136,0.303057554,0.323654507,0.936361296,0.349087198,0.998389561,-0.547546587
hsa-miR-151a-5p,306.6371949,0.388844327,0.519722722,0.748176499,0.454353704,0.96376268,,783.2643788,-0.691158957,0.420389213,-1.644092986,0.100156997,0.699533128,1.080003284
hsa-miR-151b-3p,36.56278025,0.455748164,0.56610699,0.805056592,0.420787023,0.96376268,,98.3950903,-0.780093498,0.417006396,-1.870699122,0.061386797,0.582016494,1.235841662
hsa-miR-152-3p,39.43651992,-0.575019953,0.436010339,-1.31882183,0.187228684,0.90831213,,120.1060888,-0.616178095,0.396401884,-1.554427763,0.120082415,0.784824356,0.041158142
hsa-miR-15a-5p,6.235669592,-0.200205168,0.533892855,-0.374991285,0.707666948,0.96376268,,30.20995663,-0.574680447,0.425834278,-1.349540129,0.17716354,0.916690695,0.374475279
hsa-miR-15b-3p,91.90973061,0.120644332,0.456788793,0.264114036,0.791692049,0.96376268,,121.9775569,-0.004355489,0.373733642,-0.011653992,0.99070167,0.998389561,0.124999821
hsa-miR-15b-5p,34.49533917,0.005020118,0.507581399,0.009890271,0.992108834,0.997666867,,218.6320409,-0.314763746,0.419780182,-0.749829935,0.453357137,0.998389561,0.319783864
hsa-miR-16-1-5p,73.39877651,-0.079825154,0.379313967,-0.210446124,0.833319497,0.96376268,,312.1096409,-0.294090253,0.415439036,-0.707902309,0.479005926,0.998389561,0.214265099
hsa-miR-16-2-3p,231.4484823,-0.532307119,0.373497314,-1.425196647,0.154100365,0.900357971,,623.594337,0.088498109,0.372934475,0.237302034,0.812422484,0.998389561,-0.620805228
hsa-miR-16-2-5p,86.17801397,-0.016053211,0.379777228,-0.042270072,0.966283403,0.99113069,,407.0321811,-0.392052027,0.429650479,-0.912490607,0.361510512,0.998389561,0.375998816
hsa-miR-17-3p,4.644495372,-0.182411983,0.527057911,-0.346094764,0.729271499,0.96376268,,37.98051877,-0.593030956,0.384743706,-1.54136623,0.123227678,0.786870519,0.410618973
hsa-miR-17-5p,461.130179,0.311000561,0.533483805,0.582961578,0.559919166,0.96376268,,1564.340581,-0.897772338,0.402292685,-2.231639728,0.025638784,0.444154194,1.208772899
hsa-miR-181a-1-3p,15.33005843,-0.279683373,0.483687879,-0.578231098,0.563108106,0.96376268,,82.31006411,-0.082948721,0.403320152,-0.205664707,0.837052829,0.998389561,-0.196734652
hsa-miR-181a-1-5p,379.6102825,-0.074591105,0.389988126,-0.191265068,0.848317927,0.96376268,,1774.51912,0.241793358,0.344630751,0.701601226,0.482927887,0.998389561,-0.316384463
hsa-miR-181a-2-3p,12.72735101,0.008239992,0.488473925,0.016868847,0.986541245,0.99661154,,55.22122781,0.196754597,0.382709714,0.514109232,0.607175623,0.998389561,-0.188514605
hsa-miR-181a-2-5p,379.6102825,-0.074591105,0.389988126,-0.191265068,0.848317927,0.96376268,,1773.53609,0.24197221,0.344614474,0.702153357,0.48258353,0.998389561,-0.316563315
hsa-miR-181b-1-5p,204.1075464,-0.036217822,0.42163922,-0.08589766,0.931547772,0.96376268,,415.7052059,0.163991999,0.342835466,0.47834024,0.63240806,0.998389561,-0.200209821
hsa-miR-181b-2-5p,205.128875,-0.037069803,0.422682482,-0.087701299,0.930114087,0.96376268,,429.8074012,0.175826778,0.342072108,0.514005012,0.607248486,0.998389561,-0.212896581
hsa-miR-181c-3p,13.03769683,-0.14705195,0.502600644,-0.292582096,0.769841601,0.96376268,,56.39611087,-0.302977311,0.35920781,-0.843459696,0.398971397,0.998389561,0.155925361
hsa-miR-181c-5p,9.386332937,0.071793861,0.542085327,0.132440148,0.894636161,0.96376268,,52.82102987,-0.805308689,0.37415957,-2.152313487,0.031372672,0.455139418,0.87710255
hsa-miR-181d-5p,112.2227263,-0.694471315,0.44839851,-1.548781496,0.121434255,0.900357971,,191.2069206,-0.043173119,0.352915611,-0.122332699,0.902635536,0.998389561,-0.651298196
hsa-miR-182-5p,1220.644826,-0.172368586,0.443542818,-0.38861769,0.697558979,0.96376268,,3749.613714,0.359563284,0.410385453,0.876159917,0.380943103,0.998389561,-0.53193187
hsa-miR-183-5p,885.4042077,-0.040777451,0.405765509,-0.100495113,0.919951262,0.96376268,,2841.811077,0.489398877,0.371268687,1.318179783,0.187443472,0.952837648,-0.530176328
hsa-miR-185-5p,81.31867846,0.439947521,0.454645091,0.967672432,0.33320799,0.96376268,,266.2330202,-0.335952852,0.410234946,-0.818927923,0.412827538,0.998389561,0.775900373
hsa-miR-186-5p,450.5195699,-0.376449607,0.452758579,-0.831457701,0.405715114,0.96376268,,607.3913843,0.036337259,0.373750007,0.097223433,0.92254896,0.998389561,-0.412786866
hsa-miR-18a-3p,5.63584466,-0.161905451,0.533267874,-0.303609985,0.761425044,0.96376268,,15.10093677,-0.782801179,0.429623703,-1.822062364,0.068445523,0.610827637,0.620895728
hsa-miR-18a-5p,24.96397569,0.685919794,0.578768791,1.18513611,0.235963636,0.96376268,,61.17934681,-0.963423605,0.380278746,-2.533466871,0.011294042,0.387149402,1.649343399
hsa-miR-191-3p,1.705112585,-0.622109814,0.590396714,-1.0537149,0.292013465,0.96376268,,9.300689178,0.013411264,0.448685236,0.029890138,0.976154671,0.998389561,-0.635521078
hsa-miR-191-5p,1418.529552,-0.154889984,0.455463314,-0.340071261,0.733802864,0.96376268,,5579.790168,-0.001721315,0.368531705,-0.004670739,0.996273303,0.998389561,-0.153168669
hsa-miR-192-5p,333.8010258,-0.09830442,0.416947212,-0.235771861,0.813609704,0.96376268,,809.9609509,0.035005691,0.350148807,0.099973756,0.920365161,0.998389561,-0.133310111
hsa-miR-193a-5p,15.37658295,-0.695806875,0.490906948,-1.417390562,0.156368771,0.900357971,,57.14591172,-0.347689024,0.39267839,-0.885429483,0.375925037,0.998389561,-0.348117851
hsa-miR-193b-3p,21.08706786,0.19228838,0.476540129,0.403509312,0.686573586,0.96376268,,53.95941664,-0.186310018,0.364742419,-0.510798877,0.609491895,0.998389561,0.378598398
hsa-miR-194-1-5p,10.04806886,-0.898740922,0.52889458,-1.699281778,0.089266104,0.801163286,,25.55192449,-0.21626339,0.424960677,-0.508902122,0.610820833,0.998389561,-0.682477532
hsa-miR-194-2-5p,16.02148261,-0.804614875,0.548969146,-1.465683236,0.142734603,0.900357971,,50.11791941,-0.478903375,0.440008411,-1.088395955,0.276420346,0.998389561,-0.3257115
hsa-miR-196a-1-5p,70.71274205,-0.082591944,0.436653031,-0.189147763,0.849977008,0.96376268,,68.60890723,0.253037184,0.430193421,0.588193988,0.556402092,0.998389561,-0.335629128
hsa-miR-196a-2-5p,75.33245529,-0.071389073,0.443390309,-0.161007291,0.872087658,0.96376268,,75.85860921,0.259968091,0.42849569,0.606699429,0.544050401,0.998389561,-0.331357164
hsa-miR-196b-5p,72.96665444,0.226809287,0.371713975,0.610171536,0.541748183,0.96376268,,163.1661784,0.116039154,0.404493841,0.286874959,0.774208065,0.998389561,0.110770133
hsa-miR-197-3p,35.92533276,0.519362012,0.498230798,1.0424125,0.297220474,0.96376268,,103.0124122,0.285704836,0.356298806,0.801868631,0.422628953,0.998389561,0.233657176
hsa-miR-19a-3p,61.97657842,-1.004325114,0.43882709,-2.288657961,0.022099233,0.70816401,,402.361697,-0.872416604,0.418360319,-2.085323498,0.037039946,0.484165007,-0.13190851
hsa-miR-19b-1-3p,187.0679868,-1.024422654,0.359469715,-2.8498163,0.004374449,0.384741635,,818.9966992,-0.825130348,0.38552485,-2.140277981,0.032332308,0.455139418,-0.199292306
hsa-miR-19b-2-3p,187.1291105,-1.025048899,0.359483156,-2.851451822,0.004352008,0.384741635,,819.3558192,-0.825829027,0.385541146,-2.141999719,0.032193505,0.455139418,-0.199219872
hsa-miR-200a-3p,5207.642375,-1.210866401,0.544407309,-2.224192035,0.026135527,0.70816401,,14040.46996,-0.144279675,0.346559287,-0.416320327,0.67717562,0.998389561,-1.066586726
hsa-miR-200a-5p,241.5473341,-0.432818928,0.53543171,-0.808355054,0.418886218,0.96376268,,844.2549417,0.136145677,0.387287979,0.351536026,0.72518625,0.998389561,-0.568964605
hsa-miR-200b-3p,2991.130116,-0.72148379,0.521166299,-1.384363862,0.166247069,0.900357971,,17567.63002,0.135162638,0.364258564,0.371062348,0.710591094,0.998389561,-0.856646428
hsa-miR-200b-5p,23.64395328,-0.4853467,0.49868825,-0.973246712,0.3304307,0.96376268,,71.18661794,-0.075076474,0.389406656,-0.192797101,0.847117874,0.998389561,-0.410270226
hsa-miR-200c-3p,15.41214505,-0.178995512,0.501762949,-0.35673322,0.721291534,0.96376268,,60.41055648,-0.169606817,0.390636934,-0.434180188,0.664157599,0.998389561,-0.009388695
hsa-miR-203a-3p,466.8235398,-0.885081709,0.501841749,-1.763666954,0.077788068,0.754754498,,1350.124928,-1.113898523,0.395588026,-2.815804449,0.004865527,0.356156593,0.228816814
hsa-miR-205-5p,2384.4971,-0.474916942,0.541000669,-0.877849085,0.380025623,0.96376268,,15257.95466,-0.646478124,0.361132171,-1.790142711,0.073430972,0.624084786,0.171561182
hsa-miR-20a-5p,1243.488829,0.055958485,0.506097354,0.110568618,0.911958434,0.96376268,,5226.169787,-1.01907435,0.386419291,-2.637224316,0.008358754,0.381487748,1.075032835
hsa-miR-20b-5p,8.683416904,-0.889903917,0.588422004,-1.512356627,0.130443162,0.900357971,,20.47850771,-1.133794837,0.436435221,-2.597853663,0.009380846,0.381487748,0.24389092
hsa-miR-21-3p,87.70087391,0.230447117,0.4557025,0.505696407,0.613069791,0.96376268,,876.1188903,0.055453444,0.328137891,0.168994334,0.865801098,0.998389561,0.174993673
hsa-miR-21-5p,139900.7832,-0.342511044,0.539097571,-0.635341472,0.525205731,0.96376268,,621803.3143,0.537450949,0.340807115,1.576994507,0.114796789,0.76392045,-0.879961993
hsa-miR-210-3p,49.31395423,0.39842194,0.471494674,0.845018961,0.398100253,0.96376268,,451.7779724,0.981452057,0.396555066,2.474945202,0.013325662,0.387149402,-0.583030117
hsa-miR-215-5p,23.53755829,0.352633503,0.465045488,0.758277441,0.448284909,0.96376268,,31.23763226,-0.000859957,0.397623811,-0.002162739,0.998274385,0.998389561,0.35349346
hsa-miR-218-1-5p,843.1035695,1.179382387,0.535427594,2.202692578,0.027616424,0.70816401,,1589.883815,0.297633064,0.380628717,0.781951153,0.434243281,0.998389561,0.881749323
hsa-miR-218-2-5p,842.9556531,1.179523104,0.535437145,2.202916095,0.027600663,0.70816401,,1585.292534,0.298891224,0.380588411,0.785339793,0.43225437,0.998389561,0.88063188
hsa-miR-22-3p,2278.660561,-0.532638142,0.523302391,-1.017840069,0.308753966,0.96376268,,5936.853244,0.138740515,0.345515483,0.401546449,0.688017847,0.998389561,-0.671378657
hsa-miR-22-5p,23.74412008,-0.600092122,0.506741217,-1.184218102,0.236326738,0.96376268,,67.41590575,0.206641817,0.361879178,0.571024337,0.567983146,0.998389561,-0.806733939
hsa-miR-221-3p,1823.5039,-0.146466077,0.48951826,-0.299204522,0.764783999,0.96376268,,6033.695429,0.839358553,0.389808897,2.153256532,0.031298523,0.455139418,-0.98582463
hsa-miR-221-5p,70.04976348,-0.120838929,0.47587065,-0.253932301,0.79954786,0.96376268,,508.025381,0.857400296,0.380392564,2.253988059,0.024196919,0.444154194,-0.978239225
hsa-miR-222-3p,851.3234933,0.100763398,0.471974359,0.213493373,0.830942158,0.96376268,,5471.135346,0.720143564,0.39495907,1.823337197,0.068252336,0.610827637,-0.619380166
hsa-miR-222-5p,5.680342917,0.174429432,0.571838453,0.305032709,0.760341241,0.96376268,,22.43792094,0.410908075,0.438460465,0.937161061,0.348675716,0.998389561,-0.236478643
hsa-miR-23a-3p,1579.220654,-0.479060327,0.57018152,-0.84018915,0.400802341,0.96376268,,1380.899347,-0.28496874,0.411821919,-0.691970794,0.488955671,0.998389561,-0.194091587
hsa-miR-23b-3p,337.9092948,-0.769603196,0.470718434,-1.634954445,0.102058598,0.872358014,,379.3350231,-0.306396123,0.387038028,-0.791643458,0.4285686,0.998389561,-0.463207073
hsa-miR-24-1-3p,2700.390602,-0.243491893,0.55666217,-0.43741412,0.661811046,0.96376268,,9010.166328,0.255355775,0.372435914,0.685636817,0.492942159,0.998389561,-0.498847668
hsa-miR-24-2-3p,2676.36142,-0.244650567,0.557443489,-0.438879584,0.66074879,0.96376268,,8910.778758,0.263996896,0.374126083,0.705636169,0.480414426,0.998389561,-0.508647463
hsa-miR-24-2-5p,53.86999374,-0.437240264,0.576887596,-0.757929738,0.448493046,0.96376268,,181.9667305,0.429904862,0.394307544,1.090278057,0.275590678,0.998389561,-0.867145126
hsa-miR-25-3p,1183.010792,0.474615034,0.437519523,1.084785958,0.278016466,0.96376268,,1605.545755,0.334658233,0.325134534,1.029291565,0.303342686,0.998389561,0.139956801
